name,city,category,address_line1,postcode,phone,website
The High Barn,Stratford-upon-Avon,Vineyards,76 Abbey Road,HH5 2XD,01632 960032,https://example.com/the-high-barn-0
The Old Hall,Plymouth,Garden Venues,76 Park Avenue,AG18 7JT,01632 960828,https://example.com/the-old-hall-1
The Old Grange,Stirling,City Venues,12 Abbey Road,NL5 4PE,01632 960099,https://example.com/the-old-grange-2
The Ash Park,Lincoln,Vineyards,71 Park Avenue,BT18 2RD,01632 960849,https://example.com/the-ash-park-3
The Hollow Park,Winchester,Marquee Venues,111 Church Road,CB8 5DJ,01632 960389,https://example.com/the-hollow-park-4
The South Retreat,Cheltenham,Coastal Venues,78 High Street,FP12 4LD,01632 960546,https://example.com/the-south-retreat-5
The North Grange,Oxford,Woodland Venues,104 Manor Way,LH11 1JB,01632 960410,https://example.com/the-north-grange-6
The South Hall,Plymouth,Farm Venues,34 High Street,NG16 7TF,01632 960252,https://example.com/the-south-hall-7
The Grange Yard,Stratford-upon-Avon,Farm Venues,64 Church Road,SR12 4FW,01632 960773,https://example.com/the-grange-yard-8
The Great House,Leicester,Stately Homes,68 Park Avenue,SC13 7ZT,01632 960994,https://example.com/the-great-house-9
The Grange Barn,Inverness,Hotels,59 Mill Lane,LN4 5SG,01632 960976,https://example.com/the-grange-barn-10
The South Grange,Exeter,Hotels,100 Castle Street,MG5 6GX,01632 960940,https://example.com/the-south-grange-11
The Old Gardens,Norwich,Barn Venues,113 Bridge Road,DP10 4BJ,01632 960969,https://example.com/the-old-gardens-12
The Little Hall,Windsor,Pub & Inn Venues,34 Castle Street,CE5 8XG,01632 960893,https://example.com/the-little-hall-13
The Hollow Cellars,Plymouth,Boutique Venues,58 Church Road,GM13 6TW,01632 960253,https://example.com/the-hollow-cellars-14
The North Hall,Swansea,Barn Venues,9 Mill Lane,HH1 2BJ,01632 960880,https://example.com/the-north-hall-15
The Oak Hall,Exeter,Garden Venues,74 Farm Lane,LW7 9FY,01632 960248,https://example.com/the-oak-hall-16
The Abbey Cellars,Brighton,Hotels,111 Mill Lane,DS12 7ST,01632 960689,https://example.com/the-abbey-cellars-17
The High Court,Dundee,Historic Halls,18 Abbey Road,DH7 4XT,01632 960187,https://example.com/the-high-court-18
The South Retreat,Derby,Castles,119 Station Road,TD2 9AD,01632 960170,https://example.com/the-south-retreat-19
The Stone Pavilion,Cambridge,Marquee Venues,34 Farm Lane,RB6 7AR,01632 960292,https://example.com/the-stone-pavilion-20
The Stone Pavilion,Leicester,Marquee Venues,8 Mill Lane,MG2 9BP,01632 960598,https://example.com/the-stone-pavilion-21
The Abbey Grange,Leeds,Museum Venues,16 Bridge Road,CF3 2JR,01632 960252,https://example.com/the-abbey-grange-22
The Manor Court,Harrogate,Castles,34 Abbey Road,SN9 4PJ,01632 960134,https://example.com/the-manor-court-23
The Rose Retreat,Cardiff,Castles,28 Castle Street,AT20 2DX,01632 960271,https://example.com/the-rose-retreat-24
The Long Park,Liverpool,Garden Venues,79 Castle Street,PM6 8XN,01632 960008,https://example.com/the-long-park-25
The Grange Estate,Truro,Hotels,35 Park Avenue,EL4 2XF,01632 960619,https://example.com/the-grange-estate-26
The East Gardens,Plymouth,Vineyards,6 Mill Lane,WL2 2SL,01632 960341,https://example.com/the-east-gardens-27
The Long Yard,Southampton,Industrial Venues,5 Manor Way,SA4 2FX,01632 960596,https://example.com/the-long-yard-28
The Grange Lodge,York,Manor Houses,88 Station Road,BM12 1QH,01632 960682,https://example.com/the-grange-lodge-29
The High Park,Richmond,Boutique Venues,4 High Street,SE8 3GS,01632 960754,https://example.com/the-high-park-30
The Oak Cellars,Truro,Garden Venues,29 Station Road,LF4 7BU,01632 960836,https://example.com/the-oak-cellars-31
The Mill Park,Bradford,Garden Venues,111 Church Road,HA7 7PL,01632 960990,https://example.com/the-mill-park-32
The South Park,Shrewsbury,Museum Venues,75 Park Avenue,RN1 2LG,01632 960039,https://example.com/the-south-park-33
The High Cellars,Edinburgh,Historic Halls,91 Abbey Road,SD13 4LB,01632 960001,https://example.com/the-high-cellars-34
The Priory Farm,Glasgow,City Venues,65 Park Avenue,CN20 6EN,01632 960682,https://example.com/the-priory-farm-35
The Stone Gardens,Dundee,Golf Clubs,73 Park Avenue,EG14 7GZ,01632 960415,https://example.com/the-stone-gardens-36
The Grange Barn,Bradford,Golf Clubs,57 Station Road,GS19 6TT,01632 960523,https://example.com/the-grange-barn-37
The Abbey Grange,Truro,Castles,104 Station Road,MN3 4NJ,01632 960150,https://example.com/the-abbey-grange-38
The Old Court,Derby,Pub & Inn Venues,52 Station Road,CT14 4RU,01632 960151,https://example.com/the-old-court-39
The Old House,Richmond,City Venues,32 Church Road,HF17 8BX,01632 960467,https://example.com/the-old-house-40
The Long Retreat,Truro,Museum Venues,58 High Street,NT20 9SX,01632 960761,https://example.com/the-long-retreat-41
The Abbey Retreat,Wolverhampton,Garden Venues,92 Park Avenue,LW8 5TD,01632 960240,https://example.com/the-abbey-retreat-42
The South Gardens,Cardiff,Boutique Venues,91 Station Road,CE5 4RF,01632 960065,https://example.com/the-south-gardens-43
The Stone Cellars,Swansea,Boutique Venues,116 Bridge Road,TS2 4SR,01632 960968,https://example.com/the-stone-cellars-44
The Old Place,Cambridge,Barn Venues,103 Bridge Road,PM13 7XX,01632 960919,https://example.com/the-old-place-45
The North Pavilion,Reading,Vineyards,93 High Street,SW1 7PR,01632 960860,https://example.com/the-north-pavilion-46
The Mill Lodge,Harrogate,Boutique Venues,18 Farm Lane,AR19 1DS,01632 960186,https://example.com/the-mill-lodge-47
The Great Yard,Aberdeen,Historic Halls,97 Abbey Road,GT11 6RL,01632 960258,https://example.com/the-great-yard-48
The Little Pavilion,Birmingham,Boutique Venues,32 Station Road,BP8 2BA,01632 960859,https://example.com/the-little-pavilion-49
The Old Lodge,Derby,Manor Houses,99 Manor Way,WD19 4TL,01632 960171,https://example.com/the-old-lodge-50
The Hollow House,Richmond,Stately Homes,87 Abbey Road,MD19 1NY,01632 960406,https://example.com/the-hollow-house-51
The East Hall,Salisbury,Garden Venues,45 Castle Street,DM20 2YB,01632 960438,https://example.com/the-east-hall-52
The Ash Hall,Exeter,Historic Halls,82 Farm Lane,AS16 2SQ,01632 960724,https://example.com/the-ash-hall-53
The Long Cellars,Portsmouth,Museum Venues,42 Station Road,LW15 7YL,01632 960850,https://example.com/the-long-cellars-54
The Little Yard,Bath,Garden Venues,24 Farm Lane,TR11 1UP,01632 960217,https://example.com/the-little-yard-55
The Ash Yard,Swansea,Vineyards,93 Abbey Road,LA17 4DJ,01632 960500,https://example.com/the-ash-yard-56
The Grange Mill,Stirling,Pub & Inn Venues,52 Station Road,WT1 2NJ,01632 960313,https://example.com/the-grange-mill-57
The Manor Park,Cambridge,Boutique Venues,35 Park Avenue,PS18 6QT,01632 960257,https://example.com/the-manor-park-58
The North House,Windsor,Marquee Venues,95 Farm Lane,ND18 3HH,01632 960283,https://example.com/the-north-house-59
The Manor Estate,Bristol,Marquee Venues,91 Castle Street,MH12 3NA,01632 960129,https://example.com/the-manor-estate-60
The South Court,Leeds,Boutique Venues,37 Farm Lane,ME16 2AY,01632 960490,https://example.com/the-south-court-61
The Mill Gardens,Portsmouth,Country Houses,10 Bridge Road,LW4 2RU,01632 960644,https://example.com/the-mill-gardens-62
The Great Lodge,Leicester,Farm Venues,78 Bridge Road,MC8 2XS,01632 960809,https://example.com/the-great-lodge-63
The Hollow Mill,Richmond,Museum Venues,40 Bridge Road,RT15 5YS,01632 960635,https://example.com/the-hollow-mill-64
The Great House,Richmond,Marquee Venues,71 Church Road,GL3 3JG,01632 960160,https://example.com/the-great-house-65
The Old Cellars,Bath,Riverside Venues,90 Farm Lane,WM2 4NN,01632 960072,https://example.com/the-old-cellars-66
The North Yard,Cheltenham,Farm Venues,117 Park Avenue,GS4 9JF,01632 960846,https://example.com/the-north-yard-67
The Long Hall,Leeds,Stately Homes,90 Abbey Road,MM15 2TN,01632 960965,https://example.com/the-long-hall-68
The South Pavilion,Bath,Castles,30 Bridge Road,BS11 5AD,01632 960601,https://example.com/the-south-pavilion-69
The Old Yard,Winchester,Country Houses,75 Abbey Road,FW17 8LG,01632 960650,https://example.com/the-old-yard-70
The Abbey Hall,Cambridge,Coastal Venues,53 Farm Lane,SN11 2GP,01632 960295,https://example.com/the-abbey-hall-71
The Elm Court,Oxford,Castles,106 Mill Lane,NL11 2RW,01632 960673,https://example.com/the-elm-court-72
The Grange Retreat,Belfast,Country Houses,27 Park Avenue,GP20 8TB,01632 960562,https://example.com/the-grange-retreat-73
The Long Estate,Bath,Pub & Inn Venues,71 Mill Lane,DA20 4GN,01632 960565,https://example.com/the-long-estate-74
The Stone Hall,Reading,Hotels,91 Park Avenue,TD5 8NW,01632 960425,https://example.com/the-stone-hall-75
The Abbey Pavilion,Derby,Industrial Venues,36 Abbey Road,ER7 9FD,01632 960348,https://example.com/the-abbey-pavilion-76
The Priory Yard,London,Golf Clubs,45 Manor Way,MW5 8XU,01632 960565,https://example.com/the-priory-yard-77
The Grange Place,Oxford,Historic Halls,6 Manor Way,GH19 7JS,01632 960762,https://example.com/the-grange-place-78
The Abbey Place,Aberdeen,Manor Houses,112 Church Road,WB5 9YP,01632 960895,https://example.com/the-abbey-place-79
The Mill House,Chester,Industrial Venues,101 Park Avenue,AE14 3DU,01632 960346,https://example.com/the-mill-house-80
The Hollow Place,Shrewsbury,Castles,80 Church Road,NR11 8XB,01632 960240,https://example.com/the-hollow-place-81
The Rose Mill,Stratford-upon-Avon,Castles,116 Mill Lane,SD4 8GN,01632 960047,https://example.com/the-rose-mill-82
The Oak Court,Coventry,Coastal Venues,73 High Street,PS5 4WS,01632 960174,https://example.com/the-oak-court-83
The West Hall,Harrogate,Woodland Venues,82 Park Avenue,HW19 3JT,01632 960470,https://example.com/the-west-hall-84
The South Barn,Oxford,Golf Clubs,82 Abbey Road,FC15 6YN,01632 960706,https://example.com/the-south-barn-85
The South Retreat,Bradford,Marquee Venues,46 Bridge Road,RW4 4RY,01632 960302,https://example.com/the-south-retreat-86
The Rose Barn,Truro,Woodland Venues,107 Park Avenue,LA19 1ZU,01632 960794,https://example.com/the-rose-barn-87
The North Park,Reading,Marquee Venues,5 Bridge Road,LE4 1NT,01632 960373,https://example.com/the-north-park-88
The Long Hall,Coventry,Historic Halls,68 Castle Street,SF7 3XQ,01632 960935,https://example.com/the-long-hall-89
The South Grange,Wolverhampton,Pub & Inn Venues,97 Station Road,MN4 8DF,01632 960880,https://example.com/the-south-grange-90
The Elm Park,Sheffield,Woodland Venues,87 Park Avenue,AL18 2TQ,01632 960598,https://example.com/the-elm-park-91
The Elm Park,Bristol,Garden Venues,29 Church Road,WA20 9PZ,01632 960650,https://example.com/the-elm-park-92
The Mill Estate,Shrewsbury,City Venues,15 Church Road,DE2 1NU,01632 960240,https://example.com/the-mill-estate-93
The Grange Lodge,Aberdeen,Industrial Venues,107 Farm Lane,PS19 3SE,01632 960630,https://example.com/the-grange-lodge-94
The Stone Yard,Manchester,Coastal Venues,88 Manor Way,GT15 4QE,01632 960557,https://example.com/the-stone-yard-95
The Ash Court,Dundee,Vineyards,3 Mill Lane,GD15 2HZ,01632 960805,https://example.com/the-ash-court-96
The Oak Mill,Nottingham,Farm Venues,105 Station Road,GC18 4YH,01632 960336,https://example.com/the-oak-mill-97
The Long Barn,Stoke-on-Trent,Manor Houses,2 Manor Way,EL6 2AF,01632 960808,https://example.com/the-long-barn-98
The North Gardens,Birmingham,Stately Homes,96 Church Road,LB5 7WE,01632 960487,https://example.com/the-north-gardens-99
The Mill Park,Exeter,Farm Venues,94 Castle Street,DT17 4ZB,01632 960308,https://example.com/the-mill-park-100
The Mill Barn,Leeds,Pub & Inn Venues,116 Church Road,RS4 8TD,01632 960329,https://example.com/the-mill-barn-101
The Hollow Lodge,Liverpool,Manor Houses,65 Bridge Road,LN13 9NT,01632 960440,https://example.com/the-hollow-lodge-102
The High House,Shrewsbury,Boutique Venues,106 Farm Lane,GS15 4SP,01632 960408,https://example.com/the-high-house-103
The Stone House,Cardiff,City Venues,12 Church Road,NL12 3UD,01632 960095,https://example.com/the-stone-house-104
The Stone House,Stratford-upon-Avon,Coastal Venues,86 Church Road,EB19 9XP,01632 960420,https://example.com/the-stone-house-105
The Ash Cellars,Windsor,Country Houses,28 High Street,MM12 2YW,01632 960672,https://example.com/the-ash-cellars-106
