name,city,region,category,address_line1,postcode,phone,website
The Abbey Barn,Richmond,North Yorkshire,Historic Halls,61 Park Avenue,DS19 5AZ,01632 960990,https://example.com/the-abbey-barn-166
The Abbey Cellars,Richmond,North Yorkshire,Hotels,111 Mill Lane,DS12 7ST,01632 960689,https://example.com/the-abbey-cellars-17
The Abbey Court,Richmond,North Yorkshire,Manor Houses,23 Farm Lane,GN16 9RP,01632 960934,https://example.com/the-abbey-court-169
The Abbey Estate,Richmond,North Yorkshire,Barn Venues,47 Mill Lane,DS5 5QR,01632 960410,https://example.com/the-abbey-estate-161
The Abbey Farm,Richmond,North Yorkshire,Farm Venues,54 High Street,TT10 7WW,01632 960836,https://example.com/the-abbey-farm-129
The Abbey Grange,Richmond,North Yorkshire,Museum Venues,16 Bridge Road,CF3 2JR,01632 960252,https://example.com/the-abbey-grange-22
The Abbey Grange,London,Greater London,Castles,104 Station Road,MN3 4NJ,01632 960150,https://example.com/the-abbey-grange-38
The Abbey Hall,Richmond,North Yorkshire,Coastal Venues,53 Farm Lane,SN11 2GP,01632 960295,https://example.com/the-abbey-hall-71
The Abbey Mill,Richmond,North Yorkshire,Coastal Venues,99 Bridge Road,PD9 4SX,01632 960628,https://example.com/the-abbey-mill-107
The Abbey Pavilion,Richmond,North Yorkshire,Industrial Venues,36 Abbey Road,ER7 9FD,01632 960348,https://example.com/the-abbey-pavilion-76
The Abbey Place,Richmond,North Yorkshire,Manor Houses,112 Church Road,WB5 9YP,01632 960895,https://example.com/the-abbey-place-79
The Abbey Place,Birmingham,West Midlands,Hotels,89 Farm Lane,LL15 4ZN,01632 960204,https://example.com/the-abbey-place-147
The Abbey Retreat,Richmond,North Yorkshire,Garden Venues,92 Park Avenue,LW8 5TD,01632 960240,https://example.com/the-abbey-retreat-42
The Ash Cellars,Richmond,North Yorkshire,Country Houses,28 High Street,MM12 2YW,01632 960672,https://example.com/the-ash-cellars-106
The Ash Court,Richmond,North Yorkshire,Vineyards,3 Mill Lane,GD15 2HZ,01632 960805,https://example.com/the-ash-court-96
The Ash Estate,Richmond,North Yorkshire,Historic Halls,87 Church Road,CB5 3ZB,01632 960278,https://example.com/the-ash-estate-110
The Ash Hall,Richmond,North Yorkshire,Historic Halls,82 Farm Lane,AS16 2SQ,01632 960724,https://example.com/the-ash-hall-53
The Ash Hall,Manchester,Greater Manchester,Country Houses,99 High Street,CW2 5SG,01632 960784,https://example.com/the-ash-hall-187
The Ash Mill,Richmond,North Yorkshire,City Venues,70 Castle Street,FC17 6DW,01632 960805,https://example.com/the-ash-mill-136
The Ash Park,Richmond,North Yorkshire,Vineyards,71 Park Avenue,BT18 2RD,01632 960849,https://example.com/the-ash-park-3
The Ash Park,Leeds,West Yorkshire,Boutique Venues,68 Abbey Road,EC3 5RU,01632 960787,https://example.com/the-ash-park-150
The Ash Yard,Richmond,North Yorkshire,Vineyards,93 Abbey Road,LA17 4DJ,01632 960500,https://example.com/the-ash-yard-56
The East Gardens,Richmond,North Yorkshire,Vineyards,6 Mill Lane,WL2 2SL,01632 960341,https://example.com/the-east-gardens-27
The East Gardens,Liverpool,Merseyside,Pub & Inn Venues,109 Church Road,GH5 3DN,01632 960519,https://example.com/the-east-gardens-126
The East Hall,Richmond,North Yorkshire,Garden Venues,45 Castle Street,DM20 2YB,01632 960438,https://example.com/the-east-hall-52
The East Hall,Sheffield,South Yorkshire,Riverside Venues,52 Farm Lane,BT20 1JB,01632 960239,https://example.com/the-east-hall-191
The East Lodge,Richmond,North Yorkshire,Country Houses,37 Church Road,WP18 2WE,01632 960781,https://example.com/the-east-lodge-130
The Elm Cellars,Richmond,North Yorkshire,Hotels,107 Manor Way,RA11 3ZT,01632 960090,https://example.com/the-elm-cellars-115
The Elm Court,Bristol,Bristol,Castles,106 Mill Lane,NL11 2RW,01632 960673,https://example.com/the-elm-court-72
The Elm Court,Newcastle upon Tyne,Tyne and Wear,Country Houses,78 Castle Street,EN16 9TF,01632 960143,https://example.com/the-elm-court-164
The Elm Estate,Nottingham,Nottinghamshire,Castles,27 Manor Way,BF15 7UT,01632 960621,https://example.com/the-elm-estate-156
The Elm Lodge,Leicester,Leicestershire,Garden Venues,69 Abbey Road,AA10 8XS,01632 960843,https://example.com/the-elm-lodge-189
The Elm Park,Southampton,Hampshire,Woodland Venues,87 Park Avenue,AL18 2TQ,01632 960598,https://example.com/the-elm-park-91
The Elm Park,Portsmouth,Hampshire,Garden Venues,29 Church Road,WA20 9PZ,01632 960650,https://example.com/the-elm-park-92
The Grange Barn,Brighton,East Sussex,Hotels,59 Mill Lane,LN4 5SG,01632 960976,https://example.com/the-grange-barn-10
The Grange Barn,Plymouth,Devon,Golf Clubs,57 Station Road,GS19 6TT,01632 960523,https://example.com/the-grange-barn-37
The Grange Barn,Reading,Berkshire,Vineyards,1 High Street,AF9 5PQ,01632 960890,https://example.com/the-grange-barn-108
The Grange Court,Derby,Derbyshire,Historic Halls,104 High Street,ER5 3GZ,01632 960738,https://example.com/the-grange-court-127
The Grange Estate,Wolverhampton,West Midlands,Hotels,35 Park Avenue,EL4 2XF,01632 960619,https://example.com/the-grange-estate-26
The Grange Farm,Stoke-on-Trent,Staffordshire,Country Houses,99 Manor Way,EM8 6YZ,01632 960242,https://example.com/the-grange-farm-192
The Grange Gardens,Coventry,West Midlands,Coastal Venues,39 Station Road,LW7 4LX,01632 960964,https://example.com/the-grange-gardens-170
The Grange Grange,Bradford,West Yorkshire,Pub & Inn Venues,117 Church Road,WG10 6NB,01632 960667,https://example.com/the-grange-grange-175
The Grange Hall,Cardiff,Cardiff,Stately Homes,106 Mill Lane,EF20 6YB,01632 960083,https://example.com/the-grange-hall-154
The Grange Lodge,Swansea,Swansea,Manor Houses,88 Station Road,BM12 1QH,01632 960682,https://example.com/the-grange-lodge-29
The Grange Lodge,Edinburgh,City of Edinburgh,Industrial Venues,107 Farm Lane,PS19 3SE,01632 960630,https://example.com/the-grange-lodge-94
The Grange Mill,Glasgow,Glasgow City,Pub & Inn Venues,52 Station Road,WT1 2NJ,01632 960313,https://example.com/the-grange-mill-57
The Grange Pavilion,Aberdeen,Aberdeen City,Garden Venues,54 Castle Street,ME15 1XS,01632 960542,https://example.com/the-grange-pavilion-195
The Grange Place,Dundee,Dundee City,Historic Halls,6 Manor Way,GH19 7JS,01632 960762,https://example.com/the-grange-place-78
The Grange Place,Belfast,County Antrim,Historic Halls,47 Park Avenue,EC14 9QA,01632 960184,https://example.com/the-grange-place-125
The Grange Place,York,North Yorkshire,Coastal Venues,119 Farm Lane,EM2 5DQ,01632 960671,https://example.com/the-grange-place-172
The Grange Retreat,Bath,Somerset,Country Houses,27 Park Avenue,GP20 8TB,01632 960562,https://example.com/the-grange-retreat-73
